unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source,source_type,video_file
8d7c0d86,1,Car,southbound,westbound,0.6787129640579224,4,2025-10-11T15:18:01.873119,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
06c3e9c8,5,Car,southbound,westbound,0.5766218900680542,16,2025-10-11T15:18:02.715675,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
b740571e,11,Car,eastbound,stationary,0.3591551184654236,37,2025-10-11T15:18:04.105670,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
2f94b9fe,12,Car,northbound,eastbound,0.35654598474502563,52,2025-10-11T15:18:05.142613,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
b8558e29,21,Mini Truck,westbound,eastbound,0.3236806094646454,161,2025-10-11T15:18:12.989467,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
d50bc178,32,Car,westbound,westbound,0.4094235301017761,269,2025-10-11T15:18:25.745697,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
e47ae7fa,33,Unknown,westbound,northbound,0.3011760413646698,285,2025-10-11T15:18:27.635953,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
064a379f,34,Motor Bike,westbound,eastbound,0.31082451343536377,311,2025-10-11T15:18:30.685634,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
940e050d,35,Jeep,northbound,southbound,0.4160745143890381,316,2025-10-11T15:18:33.060821,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
e5f95b63,37,Car,northbound,southbound,0.6851117014884949,324,2025-10-11T15:18:34.835932,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406183358.mp4
