unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
919e6ac3,751,Mini Truck,westbound,stationary,0.4443187713623047,7365,2025-10-11T18:55:32.477265,ch02_20220108175448.mp4
05448495,754,Car,eastbound,stationary,0.40207329392433167,7392,2025-10-11T18:55:35.477074,ch02_20220108175448.mp4
954c930a,750,2-Wheeler,southbound,westbound,0.49276670813560486,7396,2025-10-11T18:55:35.917212,ch02_20220108175448.mp4
4c1af327,760,Jeep,westbound,northbound,0.8106417059898376,7406,2025-10-11T18:55:37.037441,ch02_20220108175448.mp4
e73561e8,759,Car (2-Axle),westbound,eastbound,0.8046566247940063,7410,2025-10-11T18:55:37.477200,ch02_20220108175448.mp4
58fee551,761,Bus (2-Axle),eastbound,stationary,0.43768182396888733,7422,2025-10-11T18:55:38.817422,ch02_20220108175448.mp4
8e33de00,756,2-Wheeler,southbound,westbound,0.46117454767227173,7426,2025-10-11T18:55:39.268434,ch02_20220108175448.mp4
03c4d140,763,Car,westbound,eastbound,0.6352603435516357,7428,2025-10-11T18:55:39.487320,ch02_20220108175448.mp4
6f8a53b8,767,2-Wheeler,westbound,southbound,0.4196529984474182,7463,2025-10-11T18:55:43.357234,ch02_20220108175448.mp4
17293222,769,Car (3-Axle),westbound,westbound,0.8549260497093201,7489,2025-10-11T18:55:46.227177,ch02_20220108175448.mp4
dbc51d0e,770,Car,eastbound,stationary,0.4527950584888458,7504,2025-10-11T18:55:47.887491,ch02_20220108175448.mp4
da5139ee,772,Truck (2-Axle),eastbound,stationary,0.45385369658470154,7563,2025-10-11T18:55:54.397211,ch02_20220108175448.mp4
d00b93ee,775,Bus (2-Axle),eastbound,stationary,0.40619367361068726,7630,2025-10-11T18:56:01.827289,ch02_20220108175448.mp4
5fadc1d2,781,Car (3-Axle),westbound,westbound,0.6115430593490601,7677,2025-10-11T18:56:07.017332,ch02_20220108175448.mp4
81a0e0a0,782,Bus (2-Axle),eastbound,stationary,0.4592338502407074,7688,2025-10-11T18:56:08.247522,ch02_20220108175448.mp4
7f2c6b30,786,Car,eastbound,stationary,0.41908225417137146,7738,2025-10-11T18:56:13.737148,ch02_20220108175448.mp4
