unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
1d75e583,5,Car,northbound,stationary,0.6349642276763916,177,2025-10-11T18:18:16.987055,ch01_20210701175522.mp4
85cbb1e5,10,Auto Rickshaw,northbound,eastbound,0.4559296667575836,199,2025-10-11T18:18:19.606976,ch01_20210701175522.mp4
d5eb2e8f,12,Car,northbound,eastbound,0.7493710517883301,228,2025-10-11T18:18:23.067136,ch01_20210701175522.mp4
c8b10219,13,Auto Rickshaw,northbound,eastbound,0.7965477705001831,243,2025-10-11T18:18:24.887001,ch01_20210701175522.mp4
0de2f36e,15,Car,northbound,eastbound,0.45352068543434143,266,2025-10-11T18:18:27.626927,ch01_20210701175522.mp4
38b9c5a0,19,Car,northbound,eastbound,0.6243696212768555,290,2025-10-11T18:18:30.497253,ch01_20210701175522.mp4
67f89cd8,24,Auto Rickshaw,northbound,eastbound,0.8032757043838501,307,2025-10-11T18:18:32.550576,ch01_20210701175522.mp4
139de41a,27,Car,northbound,southbound,0.5742135047912598,322,2025-10-11T18:18:34.301861,ch01_20210701175522.mp4
beb015f2,30,Car,northbound,stationary,0.4800107181072235,336,2025-10-11T18:18:35.967029,ch01_20210701175522.mp4
610157c3,31,Car,westbound,stationary,0.3620695471763611,347,2025-10-11T18:18:37.277054,ch01_20210701175522.mp4
aa9b84bd,35,Truck (Multi-Axle),northbound,eastbound,0.5269007682800293,429,2025-10-11T18:18:47.136802,ch01_20210701175522.mp4
5a3a1929,39,Truck (3-Axle),northbound,eastbound,0.8583346009254456,459,2025-10-11T18:18:50.822331,ch01_20210701175522.mp4
1708fdd2,41,Truck (2-Axle),northbound,eastbound,0.8192613124847412,469,2025-10-11T18:18:52.001341,ch01_20210701175522.mp4
