unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source,source_type,video_file
d67b2517,10,Motor Bike,southbound,westbound,0.5259639620780945,15,2025-10-11T15:13:59.215906,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
15b74e60,9,Car,southbound,stationary,0.4429985284805298,24,2025-10-11T15:13:59.845644,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
322e21b7,16,Bus,southbound,westbound,0.39708852767944336,36,2025-10-11T15:14:00.645753,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
189b4b2b,14,Van,eastbound,eastbound,0.5995385646820068,42,2025-10-11T15:14:01.035686,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
5bda648e,19,Car,southbound,southbound,0.4022095501422882,44,2025-10-11T15:14:01.175620,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
d1e0b875,20,Car,southbound,northbound,0.6475997567176819,45,2025-10-11T15:14:01.235532,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
a8b2fce4,15,Motor Bike,southbound,westbound,0.31521525979042053,52,2025-10-11T15:14:01.705793,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
e05b3230,24,Motor Bike,southbound,westbound,0.3239935040473938,56,2025-10-11T15:14:01.985672,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
d7864840,30,Auto Rickshaw,southbound,eastbound,0.7009735703468323,61,2025-10-11T15:14:02.326623,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
0ce12397,26,Mini Truck,eastbound,eastbound,0.4580618739128113,80,2025-10-11T15:14:03.605740,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
a960eb41,36,Mini Truck,westbound,westbound,0.35147467255592346,86,2025-10-11T15:14:04.017875,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
d17be8f5,40,Motor Bike,eastbound,eastbound,0.5959628224372864,88,2025-10-11T15:14:04.155542,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
91554670,42,Auto Rickshaw,southbound,eastbound,0.3316621780395508,88,2025-10-11T15:14:04.155542,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
0dd0abb5,32,Motor Bike,eastbound,eastbound,0.38717034459114075,101,2025-10-11T15:14:05.015865,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
8be9330d,47,Motor Bike,southbound,westbound,0.4159148335456848,111,2025-10-11T15:14:05.701766,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
1b08d781,43,Motor Bike,eastbound,eastbound,0.5075650811195374,130,2025-10-11T15:14:06.967537,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
a9e73c2d,51,Car,northbound,westbound,0.4425252079963684,130,2025-10-11T15:14:06.967537,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
a2e36b01,52,Motor Bike,southbound,westbound,0.3605743944644928,130,2025-10-11T15:14:06.967537,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
45e1bdc7,53,Mini Truck,northbound,stationary,0.40210050344467163,160,2025-10-11T15:14:08.965616,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
50c850c8,50,Mini Truck,northbound,eastbound,0.41090887784957886,169,2025-10-11T15:14:09.565488,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
6c5d215d,60,Motor Bike,southbound,westbound,0.4792104661464691,239,2025-10-11T15:14:14.175534,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
0fe2e232,63,Motor Bike,southbound,stationary,0.3438074588775635,281,2025-10-11T15:14:16.915604,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
2de05be1,65,Motor Bike,southbound,westbound,0.5807245373725891,301,2025-10-11T15:14:18.261577,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch01_20220406085318.mp4
