unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
e45fc447,1,LCV,eastbound,stationary,0.7781600952148438,4,2025-10-11T19:02:05.607512,ch02_20220108175448.mp4
d45f9ea6,2,Bus (2-Axle),eastbound,stationary,0.7262811064720154,4,2025-10-11T19:02:05.607512,ch02_20220108175448.mp4
6ed99ace,3,Mini Truck,eastbound,stationary,0.42009246349334717,4,2025-10-11T19:02:05.607512,ch02_20220108175448.mp4
e61d7a6f,4,2-Wheeler,southbound,stationary,0.4924258291721344,11,2025-10-11T19:02:06.356457,ch02_20220108175448.mp4
fbe1cb21,6,Car (2-Axle),westbound,eastbound,0.7026336789131165,18,2025-10-11T19:02:07.108797,ch02_20220108175448.mp4
1d4cad6a,15,3-Wheeler (Auto Rickshaw),westbound,eastbound,0.6777709126472473,34,2025-10-11T19:02:08.805570,ch02_20220108175448.mp4
5686b1dd,19,Mini Truck,eastbound,stationary,0.4881070554256439,38,2025-10-11T19:02:09.228974,ch02_20220108175448.mp4
b949b465,20,Car,westbound,eastbound,0.5053498148918152,47,2025-10-11T19:02:10.188037,ch02_20220108175448.mp4
f78b7356,21,Truck (2-Axle),eastbound,stationary,0.4307194650173187,48,2025-10-11T19:02:10.299249,ch02_20220108175448.mp4
d1121f37,22,2-Wheeler,westbound,eastbound,0.4162719249725342,58,2025-10-11T19:02:11.355201,ch02_20220108175448.mp4
59b198f9,25,Truck (3-Axle),westbound,westbound,0.7224417924880981,60,2025-10-11T19:02:11.547288,ch02_20220108175448.mp4
16340298,27,Truck (Multi-Axle),southbound,westbound,0.8024466037750244,72,2025-10-11T19:02:12.814452,ch02_20220108175448.mp4
6fcfb54a,32,3-Wheeler (Auto Rickshaw),westbound,eastbound,0.8543909192085266,86,2025-10-11T19:02:14.268510,ch02_20220108175448.mp4
1e98747d,35,Car (2-Axle),westbound,stationary,0.7403998970985413,100,2025-10-11T19:02:15.737469,ch02_20220108175448.mp4
fcc55d70,38,Car (3-Axle),westbound,westbound,0.8476296067237854,104,2025-10-11T19:02:16.147584,ch02_20220108175448.mp4
2b786018,39,Car,westbound,eastbound,0.6335753202438354,106,2025-10-11T19:02:16.347391,ch02_20220108175448.mp4
6845091c,46,3-Wheeler (Auto Rickshaw),westbound,eastbound,0.8702329397201538,127,2025-10-11T19:02:18.541172,ch02_20220108175448.mp4
