unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
c889e2eb,1,LCV,eastbound,stationary,0.7781600952148438,4,2025-10-11T19:11:09.277381,ch02_20220108175448.mp4
084c62b7,2,Omni Van,eastbound,stationary,0.7262811064720154,4,2025-10-11T19:11:09.277381,ch02_20220108175448.mp4
9d62b343,3,Mini Truck,eastbound,stationary,0.42009246349334717,4,2025-10-11T19:11:09.277381,ch02_20220108175448.mp4
dbe9f7c8,6,3-Wheeler (Auto Rickshaw),eastbound,stationary,0.3508380651473999,4,2025-10-11T19:11:09.277381,ch02_20220108175448.mp4
2ac5cda5,4,2-Wheeler,southbound,westbound,0.34303122758865356,5,2025-10-11T19:11:09.397624,ch02_20220108175448.mp4
a28de7f5,9,3-Wheeler (Auto Rickshaw),westbound,eastbound,0.6192892789840698,7,2025-10-11T19:11:09.632460,ch02_20220108175448.mp4
610bf085,8,2-Wheeler,westbound,northbound,0.4012754559516907,9,2025-10-11T19:11:09.857707,ch02_20220108175448.mp4
ddaaac84,19,Car,westbound,stationary,0.30741357803344727,32,2025-10-11T19:11:12.327301,ch02_20220108175448.mp4
88d01ac6,20,Car,eastbound,stationary,0.3085087835788727,39,2025-10-11T19:11:13.107370,ch02_20220108175448.mp4
af434597,22,2-Wheeler,westbound,eastbound,0.3519991934299469,46,2025-10-11T19:11:13.873538,ch02_20220108175448.mp4
e7f9fb0f,23,3-Wheeler (Auto Rickshaw),southbound,stationary,0.30617260932922363,57,2025-10-11T19:11:15.091460,ch02_20220108175448.mp4
74bb227e,26,Truck (2-Axle),westbound,westbound,0.7224417924880981,60,2025-10-11T19:11:15.417345,ch02_20220108175448.mp4
14bdc922,27,Car,eastbound,stationary,0.47882598638534546,62,2025-10-11T19:11:15.631182,ch02_20220108175448.mp4
0157922e,28,Truck (Multi-Axle),westbound,westbound,0.7431966066360474,69,2025-10-11T19:11:16.394343,ch02_20220108175448.mp4
f48fd9ea,30,Car,westbound,stationary,0.6344440579414368,75,2025-10-11T19:11:17.064493,ch02_20220108175448.mp4
b1f639c7,31,3-Wheeler (Auto Rickshaw),eastbound,stationary,0.5419915914535522,80,2025-10-11T19:11:17.563620,ch02_20220108175448.mp4
48ff9b7f,33,3-Wheeler (Auto Rickshaw),westbound,stationary,0.6649590134620667,84,2025-10-11T19:11:18.000897,ch02_20220108175448.mp4
02445708,35,3-Wheeler (Auto Rickshaw),northbound,eastbound,0.326239675283432,97,2025-10-11T19:11:19.408215,ch02_20220108175448.mp4
ff172258,18,3-Wheeler (Auto Rickshaw),westbound,westbound,0.8476296067237854,104,2025-10-11T19:11:20.167183,ch02_20220108175448.mp4
b83cfd25,40,Car,westbound,stationary,0.30956965684890747,108,2025-10-11T19:11:20.607547,ch02_20220108175448.mp4
164d80c8,36,Car,eastbound,stationary,0.32194918394088745,113,2025-10-11T19:11:21.147583,ch02_20220108175448.mp4
9842615d,43,Car,southbound,westbound,0.9172444939613342,118,2025-10-11T19:11:21.684379,ch02_20220108175448.mp4
69dad2c6,47,3-Wheeler (Auto Rickshaw),westbound,stationary,0.872241735458374,124,2025-10-11T19:11:22.324924,ch02_20220108175448.mp4
8bd9e8ad,51,Car,westbound,stationary,0.712743878364563,138,2025-10-11T19:11:23.797469,ch02_20220108175448.mp4
93f5c5bc,52,3-Wheeler (Auto Rickshaw),northbound,westbound,0.4252778887748718,151,2025-10-11T19:11:25.141438,ch02_20220108175448.mp4
a1f163f7,53,Car,eastbound,stationary,0.4851543605327606,152,2025-10-11T19:11:25.247982,ch02_20220108175448.mp4
70b45f1c,54,2-Wheeler,southbound,westbound,0.5687426924705505,199,2025-10-11T19:11:30.085415,ch02_20220108175448.mp4
64f3be01,59,3-Wheeler (Auto Rickshaw),eastbound,eastbound,0.511052131652832,218,2025-10-11T19:11:32.057301,ch02_20220108175448.mp4
83b7a04c,61,2-Wheeler,southbound,westbound,0.6404279470443726,221,2025-10-11T19:11:32.375059,ch02_20220108175448.mp4
87d2a9f6,65,Omni Van,southbound,westbound,0.6512588262557983,231,2025-10-11T19:11:33.396638,ch02_20220108175448.mp4
c364c3a7,62,3-Wheeler (Auto Rickshaw),northbound,westbound,0.31798237562179565,231,2025-10-11T19:11:33.396638,ch02_20220108175448.mp4
acf5fa90,63,Omni Van,southbound,westbound,0.41094771027565,235,2025-10-11T19:11:33.807385,ch02_20220108175448.mp4
6516057e,66,Car,eastbound,stationary,0.3360801637172699,256,2025-10-11T19:11:35.948800,ch02_20220108175448.mp4
65e7b186,60,2-Wheeler,southbound,southbound,0.45048415660858154,273,2025-10-11T19:11:37.737190,ch02_20220108175448.mp4
d7497371,70,3-Wheeler (Auto Rickshaw),northbound,stationary,0.30637794733047485,298,2025-10-11T19:11:40.280661,ch02_20220108175448.mp4
0e05a31c,72,Car,westbound,stationary,0.3029248118400574,298,2025-10-11T19:11:40.280661,ch02_20220108175448.mp4
e93a184f,73,Car,westbound,stationary,0.5242077112197876,299,2025-10-11T19:11:40.376061,ch02_20220108175448.mp4
c4b2d448,74,Car,eastbound,stationary,0.426674485206604,302,2025-10-11T19:11:40.677349,ch02_20220108175448.mp4
24f014bc,78,2-Wheeler,southbound,westbound,0.5213059782981873,351,2025-10-11T19:11:45.789295,ch02_20220108175448.mp4
35f35fc1,82,Car,westbound,stationary,0.3417261242866516,354,2025-10-11T19:11:46.117487,ch02_20220108175448.mp4
9e2024b3,88,Mini Truck,westbound,eastbound,0.6442500352859497,394,2025-10-11T19:11:50.277202,ch02_20220108175448.mp4
37a1937f,90,Omni Van,westbound,westbound,0.5412009954452515,403,2025-10-11T19:11:51.233602,ch02_20220108175448.mp4
5e7a87a9,89,3-Wheeler (Auto Rickshaw),westbound,westbound,0.6010836362838745,405,2025-10-11T19:11:51.432341,ch02_20220108175448.mp4
0da8bf28,79,2-Wheeler,southbound,westbound,0.40845155715942383,406,2025-10-11T19:11:51.536574,ch02_20220108175448.mp4
64f2a63b,103,Bus,southbound,westbound,0.815133810043335,433,2025-10-11T19:11:54.407395,ch02_20220108175448.mp4
0d236ca6,107,Car,eastbound,stationary,0.30508747696876526,446,2025-10-11T19:11:55.777455,ch02_20220108175448.mp4
5bf91d70,110,2-Wheeler,westbound,stationary,0.3478434383869171,452,2025-10-11T19:11:56.397176,ch02_20220108175448.mp4
eed7fb9e,116,Car,westbound,stationary,0.3228789269924164,497,2025-10-11T19:12:01.136547,ch02_20220108175448.mp4
f7cb4079,117,2-Wheeler,westbound,stationary,0.30878204107284546,503,2025-10-11T19:12:01.767260,ch02_20220108175448.mp4
bca49ae0,102,2-Wheeler,southbound,westbound,0.3113502860069275,505,2025-10-11T19:12:01.977321,ch02_20220108175448.mp4
e6bfe9e0,113,3-Wheeler (Auto Rickshaw),westbound,westbound,0.8431278467178345,531,2025-10-11T19:12:04.717400,ch02_20220108175448.mp4
9ef56e9d,121,Car,eastbound,stationary,0.3406852185726166,536,2025-10-11T19:12:05.249423,ch02_20220108175448.mp4
833caa3d,125,Car,southbound,westbound,0.9496712684631348,548,2025-10-11T19:12:06.497195,ch02_20220108175448.mp4
b7cf16ef,126,3-Wheeler (Auto Rickshaw),westbound,stationary,0.30422139167785645,555,2025-10-11T19:12:07.242031,ch02_20220108175448.mp4
25ddc5d7,134,Car,eastbound,stationary,0.3551812171936035,604,2025-10-11T19:12:12.367276,ch02_20220108175448.mp4
5fc8a875,140,Omni Van,eastbound,stationary,0.6749574542045593,667,2025-10-11T19:12:18.990928,ch02_20220108175448.mp4
c138a810,136,3-Wheeler (Auto Rickshaw),westbound,westbound,0.6626670360565186,670,2025-10-11T19:12:19.319686,ch02_20220108175448.mp4
e23397c8,143,LCV,eastbound,stationary,0.557390570640564,682,2025-10-11T19:12:20.607351,ch02_20220108175448.mp4
571969ba,141,Bus,eastbound,stationary,0.33564120531082153,682,2025-10-11T19:12:20.607351,ch02_20220108175448.mp4
4079a046,145,Car,southbound,westbound,0.6532569527626038,687,2025-10-11T19:12:21.143414,ch02_20220108175448.mp4
330aa432,150,Car,eastbound,stationary,0.3742946684360504,710,2025-10-11T19:12:23.527525,ch02_20220108175448.mp4
b4a72f86,149,3-Wheeler (Auto Rickshaw),westbound,westbound,0.565418004989624,714,2025-10-11T19:12:23.947256,ch02_20220108175448.mp4
560c14e3,154,2-Wheeler,westbound,eastbound,0.3860064148902893,772,2025-10-11T19:12:29.977574,ch02_20220108175448.mp4
8b40cb18,158,3-Wheeler (Auto Rickshaw),westbound,westbound,0.7434412837028503,819,2025-10-11T19:12:34.932497,ch02_20220108175448.mp4
772f4f9d,161,Car,southbound,westbound,0.850014328956604,834,2025-10-11T19:12:36.543870,ch02_20220108175448.mp4
5dd53253,163,Car,eastbound,westbound,0.47916534543037415,836,2025-10-11T19:12:36.747264,ch02_20220108175448.mp4
7ab68662,167,3-Wheeler (Auto Rickshaw),southbound,westbound,0.7505183815956116,846,2025-10-11T19:12:37.830608,ch02_20220108175448.mp4
