unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source,source_type,video_file
a8814918,46,LCV,eastbound,stationary,0.3540268540382385,1142,2025-10-11T14:18:20.255442,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
5f54887a,49,Auto Rickshaw,westbound,stationary,0.3392412066459656,1163,2025-10-11T14:18:21.645145,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
c5a30cfe,51,LCV,eastbound,stationary,0.3516952693462372,1190,2025-10-11T14:18:23.385282,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
51372ac7,53,Car,eastbound,stationary,0.3659195601940155,1219,2025-10-11T14:18:25.263289,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
960b64b0,54,Auto Rickshaw,westbound,stationary,0.50670325756073,1270,2025-10-11T14:18:28.540314,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
5f3c7de8,55,LCV,eastbound,stationary,0.34581515192985535,1271,2025-10-11T14:18:28.615186,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
7fc97fc7,56,Car,eastbound,stationary,0.3483120799064636,1286,2025-10-11T14:18:29.585221,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
9fd0b219,57,Auto Rickshaw,westbound,stationary,0.400410532951355,1304,2025-10-11T14:18:30.766649,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
6247ba8c,59,Auto Rickshaw,westbound,stationary,0.43413227796554565,1328,2025-10-11T14:18:32.305191,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
fd1a43f9,60,Truck (2-Axle),eastbound,stationary,0.3221057951450348,1378,2025-10-11T14:18:35.542245,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
297e0392,62,Mini Truck,westbound,stationary,0.31874704360961914,1380,2025-10-11T14:18:35.676995,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
09a170b1,61,Bus,eastbound,eastbound,0.40769338607788086,1383,2025-10-11T14:18:35.875103,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
53cf7ff7,64,Car,eastbound,stationary,0.32742413878440857,1394,2025-10-11T14:18:36.595386,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
ac4f904b,66,LCV,eastbound,stationary,0.3189221918582916,1398,2025-10-11T14:18:36.855318,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
c013622d,69,Bus,eastbound,stationary,0.3148236572742462,1538,2025-10-11T14:18:45.875524,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
930927eb,70,Bus,eastbound,stationary,0.3596678376197815,1544,2025-10-11T14:18:46.262454,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
18045c39,71,Bus,eastbound,stationary,0.4044077396392822,1611,2025-10-11T14:18:50.556758,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
8dd9f57d,72,Bus,eastbound,stationary,0.3015326261520386,1748,2025-10-11T14:18:59.300603,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
1318ad64,75,LCV,eastbound,stationary,0.31235018372535706,1892,2025-10-11T14:19:08.575378,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
f5f2985b,76,Auto Rickshaw,westbound,stationary,0.35878533124923706,1897,2025-10-11T14:19:08.905233,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
6accd5b3,81,Bus,eastbound,stationary,0.49349501729011536,1951,2025-10-11T14:19:12.443736,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
767305a7,80,Auto Rickshaw,westbound,stationary,0.4105384945869446,1951,2025-10-11T14:19:12.443736,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
8bb03d8e,83,Car,westbound,stationary,0.301381915807724,1986,2025-10-11T14:19:14.691277,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
146a2de8,84,Car,westbound,westbound,0.3331112265586853,1992,2025-10-11T14:19:15.095167,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
c8873b2f,85,LCV,eastbound,stationary,0.3000878095626831,1996,2025-10-11T14:19:15.355267,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4,video,E:\Videos\ATCC PROJECT\data\input\04_mid_block\DAY\ch02_20220109213219.mp4
